level,group,year,path,url,original_url,status,bytes,sha256,error
MS,CS,1397,MS/CS/1397/olum_97_konkurcomputer.pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/olum/olum_97_konkurcomputer.pdf,,ok,3326833,2322a557bdd857a477ffb17fdaaec1e1b7097f6a60a11ac494552686f458bdac,
MS,CS,1398,MS/CS/1398/konkur arshad olum computer 98 (konkurcomputer.ir).pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/olum/konkur%20arshad%20olum%20computer%2098%20(konkurcomputer.ir).pdf,,ok,3420036,efe46bb2ae13b1e35625a7bf30c8711accf3d273ebf115d7200b67ab102a2172,
MS,CS,1399,MS/CS/1399/daftarche-soalat-konkur-arshad-olum-computer-99.pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/olum/daftarche-soalat-konkur-arshad-olum-computer-99.pdf,,ok,8253449,0e888268600e57dd4341fddc39af8d117967c2da50b1b579fe6a9d48cf990735,
MS,CS,1400,MS/CS/1400/Daftarche-Soalat-Konkur-Arshad-Olum-Computer-1400.pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/olum/Daftarche-Soalat-Konkur-Arshad-Olum-Computer-1400.pdf,,ok,7547826,06054a7b1c4064661c22382400d41be32766fe0aacc0b2802dadba48aee2d16d,
MS,CS,1401,MS/CS/1401/Daftarche-Soalat-Konkur-Arshad-Olum-Computer-1401-(konkurcomputer.ir).pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/olum/Daftarche-Soalat-Konkur-Arshad-Olum-Computer-1401-(konkurcomputer.ir).pdf,,ok,9274648,c406bf738e47cd6d512355f6d1b199c7dccea7d3887d24d7e00f1b96a4f81b8a,
MS,CS,1402,MS/CS/1402/Daftarche-Soalat-Konkur-Arshad-Olum-Computer-1402-(konkurcomputer.ir).pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/olum/Daftarche-Soalat-Konkur-Arshad-Olum-Computer-1402-(konkurcomputer.ir).pdf,,ok,14418868,8a60f0e9129c65722b3336ae5041b6c8c7147ec5e356608049d11d34063cedf2,
MS,CS,1403,MS/CS/1403/Daftarche-Soalat-Konkur-Arshad-Olum-Computer-1403-(konkurcomputer.ir).pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/olum/Daftarche-Soalat-Konkur-Arshad-Olum-Computer-1403-(konkurcomputer.ir).pdf,,ok,23928380,449c9adf2600e4246a7b15fde3a5e17de38f9e7e599c0c9e032c49c3dc2c3a2d,
MS,CS,1404,MS/CS/1404/Daftarche-Soalat-Konkur-Arshad-Olum-Computer-1404-(konkurcomputer.ir).pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/olum/Daftarche-Soalat-Konkur-Arshad-Olum-Computer-1404-(konkurcomputer.ir).pdf,,ok,28683251,53719e256f35b9acb43bfa87062a7c0fb20f1e4b3f9e0fa9c688e74e4a0ec26f,
MS,CS,1405,MS/CS/1405/Q257A-Arshad1405-[www.konkur.in].pdf,https://dl.konkur.in/Arshad/1405/Q257A-Arshad1405-[www.konkur.in].pdf,,ok,539127,198f75f9f9d195adc5c09ab14d17029e63a3cd11030d62cffcdfcb5df7627527,
MS,IT,1383,MS/IT/1383/IT83(konkurcomputer.ir).pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/it/IT83(konkurcomputer.ir).pdf,,ok,4429320,798ec690e7777f5e0ca876383c741c635c8675e958bcc700a319978aac2de558,
MS,IT,1384,MS/IT/1384/IT84(konkurcomputer.ir).pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/it/IT84(konkurcomputer.ir).pdf,,ok,6178715,8d073c684d9198a10e0118d514a68e52b68da2cbd6f858553fc81ce939419e05,
MS,IT,1385,MS/IT/1385/IT85(konkurcomputer.ir).pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/it/IT85(konkurcomputer.ir).pdf,,ok,5422972,ea2611471d743ea1598684d9f5dcef4aef99c021c4c0e0feef89cd9e7adef4c4,
MS,IT,1386,MS/IT/1386/IT86(konkurcomputer.ir).pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/it/IT86(konkurcomputer.ir).pdf,,ok,5101703,db1300d563a872b9062c6783bb580c52bab81d5834f1cc5ab4c2a7330276e03e,
MS,IT,1387,MS/IT/1387/IT87(konkurcomputer.ir)new.pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/it/IT87(konkurcomputer.ir)new.pdf,,ok,4953055,488b8aff44a5410377ae44b573f5ae1a22b8b4851ec56189a15d808e97900919,
MS,IT,1388,MS/IT/1388/IT88(konkurcomputer.ir)new.pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/it/IT88(konkurcomputer.ir)new.pdf,,ok,5143786,caaa4b4e51c570203954c39b6e57f1eb464b5bf203d3d918bb026d2629e1d0ae,
